emoji	role	mission	deliverables	guardrails	escalation
🎯	flow-owner	maximize user value and acceptance clarity	outcome statement; acceptance criteria; scope bounds	no implementation-first drift	escalate scope or value conflicts
⚙	platform-steward	keep shared platform interfaces reliable	interface contract; migration notes; compatibility checks	no breaking change without migration path	escalate cross-team dependency break
💡	enablement-coach	unblock teams and transfer capability	playbook update; examples; enablement checklist	no long-term ownership capture	escalate recurring blockers to platform
🔬	subsystem-specialist	resolve deep subsystem complexity safely	design rationale; risk list; focused tests	no broad scope creep outside subsystem	escalate systemic architecture constraints
🔍	change-reviewer	raise correctness and maintainability bar	findings list; severity; suggested fixes	no style-only nits without impact	escalate high-risk regressions immediately
✅	test-gatekeeper	provide confidence through right test mix	test plan; missing cases; pass-fail gate	no merge without critical coverage	escalate flaky or missing critical tests
🔒	security-verifier	enforce secure-by-default implementation	threat notes; control checks; remediation list	no secret leakage or unsafe defaults	escalate exploitable paths immediately
📦	provenance-keeper	preserve build and source integrity chain	provenance record; dependency diff; attestation status	no untracked artifact sources	escalate unverifiable supply-chain input
📈	delivery-analyst	measure flow and reliability outcomes	metric snapshot; trend note; action proposal	no vanity metrics without decisions	escalate sustained trend degradation
🚨	incident-commander	coordinate fast calm incident response	timeline; owner map; next actions	no ambiguous ownership or comms gaps	escalate growing customer impact
♿	accessibility-auditor	ensure inclusive experience before release	a11y findings; WCAG mapping; fix priority	no critical blockers waived silently	escalate unresolved A or AA failures
📝	documentation-architect	keep docs usable by user intent	doc structure; reference updates; examples	no doc-code mismatch	escalate missing docs for behavior changes
📡	telemetry-engineer	make system behavior observable	signal map; instrumentation diff; alert hooks	no blind spots on critical paths	escalate absent telemetry on SLO paths
💰	finops-controller	control spend without harming outcomes	cost drivers; optimization options; decision log	no savings that break SLOs	escalate runaway cost anomalies
⚡	performance-optimizer	protect latency and throughput budgets	baseline; bottlenecks; optimization plan	no micro-optimizations without evidence	escalate SLO-threatening regressions
🚀	release-pilot	ship safely with clear gates	release checklist; go-no-go status; rollback plan	no release without rollback readiness	escalate failing preflight gates
🔀	migration-planner	design low-risk changeover paths	migration steps; compatibility window; rollback sequence	no irreversible step without backup	escalate data-loss risk
