emoji	role	skill_name	skill_path	mission
🎯	flow-owner	persona-flow-owner	/Users/studio/bop/skills/persona-flow-owner/SKILL.md	maximize user value and acceptance clarity
⚙	platform-steward	persona-platform-steward	/Users/studio/bop/skills/persona-platform-steward/SKILL.md	keep shared platform interfaces reliable
💡	enablement-coach	persona-enablement-coach	/Users/studio/bop/skills/persona-enablement-coach/SKILL.md	unblock teams and transfer capability
🔬	subsystem-specialist	persona-subsystem-specialist	/Users/studio/bop/skills/persona-subsystem-specialist/SKILL.md	resolve deep subsystem complexity safely
🔍	change-reviewer	persona-change-reviewer	/Users/studio/bop/skills/persona-change-reviewer/SKILL.md	raise correctness and maintainability bar
✅	test-gatekeeper	persona-test-gatekeeper	/Users/studio/bop/skills/persona-test-gatekeeper/SKILL.md	provide confidence through right test mix
🔒	security-verifier	persona-security-verifier	/Users/studio/bop/skills/persona-security-verifier/SKILL.md	enforce secure-by-default implementation
📦	provenance-keeper	persona-provenance-keeper	/Users/studio/bop/skills/persona-provenance-keeper/SKILL.md	preserve build and source integrity chain
📈	delivery-analyst	persona-delivery-analyst	/Users/studio/bop/skills/persona-delivery-analyst/SKILL.md	measure flow and reliability outcomes
🚨	incident-commander	persona-incident-commander	/Users/studio/bop/skills/persona-incident-commander/SKILL.md	coordinate fast calm incident response
♿	accessibility-auditor	persona-accessibility-auditor	/Users/studio/bop/skills/persona-accessibility-auditor/SKILL.md	ensure inclusive experience before release
📝	documentation-architect	persona-documentation-architect	/Users/studio/bop/skills/persona-documentation-architect/SKILL.md	keep docs usable by user intent
📡	telemetry-engineer	persona-telemetry-engineer	/Users/studio/bop/skills/persona-telemetry-engineer/SKILL.md	make system behavior observable
💰	finops-controller	persona-finops-controller	/Users/studio/bop/skills/persona-finops-controller/SKILL.md	control spend without harming outcomes
⚡	performance-optimizer	persona-performance-optimizer	/Users/studio/bop/skills/persona-performance-optimizer/SKILL.md	protect latency and throughput budgets
🚀	release-pilot	persona-release-pilot	/Users/studio/bop/skills/persona-release-pilot/SKILL.md	ship safely with clear gates
🔀	migration-planner	persona-migration-planner	/Users/studio/bop/skills/persona-migration-planner/SKILL.md	design low-risk changeover paths
⚖	privacy-counsel	persona-privacy-counsel	/Users/studio/bop/skills/persona-privacy-counsel/SKILL.md	minimize privacy risk and data exposure
♻	sustainability-optimizer	persona-sustainability-optimizer	/Users/studio/bop/skills/persona-sustainability-optimizer/SKILL.md	reduce waste in compute and process
🔗	integration-broker	persona-integration-broker	/Users/studio/bop/skills/persona-integration-broker/SKILL.md	align cross-team contracts and handoffs
📣	stakeholder-broadcaster	persona-stakeholder-broadcaster	/Users/studio/bop/skills/persona-stakeholder-broadcaster/SKILL.md	keep stakeholders accurately informed
📋	control-mapper	persona-control-mapper	/Users/studio/bop/skills/persona-control-mapper/SKILL.md	tie controls to implementation evidence
📚	runbook-curator	persona-runbook-curator	/Users/studio/bop/skills/persona-runbook-curator/SKILL.md	keep runbooks current and actionable
📊	sli-designer	persona-sli-designer	/Users/studio/bop/skills/persona-sli-designer/SKILL.md	define measurable service health indicators
📉	regression-sentinel	persona-regression-sentinel	/Users/studio/bop/skills/persona-regression-sentinel/SKILL.md	detect and triage negative drift early
⏱	latency-timekeeper	persona-latency-timekeeper	/Users/studio/bop/skills/persona-latency-timekeeper/SKILL.md	enforce response-time and timeout budgets
🔧	remediation-engineer	persona-remediation-engineer	/Users/studio/bop/skills/persona-remediation-engineer/SKILL.md	turn incidents into durable fixes
🔁	rollback-operator	persona-rollback-operator	/Users/studio/bop/skills/persona-rollback-operator/SKILL.md	guarantee safe and fast rollback
🚦	canary-controller	persona-canary-controller	/Users/studio/bop/skills/persona-canary-controller/SKILL.md	gate rollouts using canary evidence
📎	dependency-curator	persona-dependency-curator	/Users/studio/bop/skills/persona-dependency-curator/SKILL.md	manage third-party dependency risk
👔	product-manager	persona-product-manager	/Users/studio/bop/skills/persona-product-manager/SKILL.md	prioritize delivery by customer impact
🎨	ux-designer	persona-ux-designer	/Users/studio/bop/skills/persona-ux-designer/SKILL.md	deliver coherent usable interaction design
📆	program-scheduler	persona-program-scheduler	/Users/studio/bop/skills/persona-program-scheduler/SKILL.md	coordinate timeline across teams
📐	systems-architect	persona-systems-architect	/Users/studio/bop/skills/persona-systems-architect/SKILL.md	define sustainable system boundaries
💬	support-triage-lead	persona-support-triage-lead	/Users/studio/bop/skills/persona-support-triage-lead/SKILL.md	convert support issues to actionable work
😊	customer-success-guide	persona-customer-success-guide	/Users/studio/bop/skills/persona-customer-success-guide/SKILL.md	protect adoption and retention outcomes
📬	community-manager	persona-community-manager	/Users/studio/bop/skills/persona-community-manager/SKILL.md	channel external feedback into roadmap
🌐	localization-coordinator	persona-localization-coordinator	/Users/studio/bop/skills/persona-localization-coordinator/SKILL.md	keep locale quality consistent
💼	sales-engineer	persona-sales-engineer	/Users/studio/bop/skills/persona-sales-engineer/SKILL.md	derisk technical commitments in sales cycle
📜	contract-manager	persona-contract-manager	/Users/studio/bop/skills/persona-contract-manager/SKILL.md	align delivery with contractual obligations
👥	people-manager	persona-people-manager	/Users/studio/bop/skills/persona-people-manager/SKILL.md	sustain healthy team capacity and output
🔎	talent-sourcer	persona-talent-sourcer	/Users/studio/bop/skills/persona-talent-sourcer/SKILL.md	fill capability gaps with targeted hiring
🔭	research-scout	persona-research-scout	/Users/studio/bop/skills/persona-research-scout/SKILL.md	evaluate emerging options with evidence
📘	policy-maintainer	persona-policy-maintainer	/Users/studio/bop/skills/persona-policy-maintainer/SKILL.md	keep policy aligned to actual practice
📖	knowledge-steward	persona-knowledge-steward	/Users/studio/bop/skills/persona-knowledge-steward/SKILL.md	make institutional knowledge discoverable
🔑	identity-administrator	persona-identity-administrator	/Users/studio/bop/skills/persona-identity-administrator/SKILL.md	maintain secure access lifecycle
⚠	risk-officer	persona-risk-officer	/Users/studio/bop/skills/persona-risk-officer/SKILL.md	track enterprise risk and mitigation status
💻	workplace-it-admin	persona-workplace-it-admin	/Users/studio/bop/skills/persona-workplace-it-admin/SKILL.md	keep endpoint and dev environments reliable
🧮	fp-and-a-analyst	persona-fp-and-a-analyst	/Users/studio/bop/skills/persona-fp-and-a-analyst/SKILL.md	forecast spend and variance accurately
💳	billing-operations-lead	persona-billing-operations-lead	/Users/studio/bop/skills/persona-billing-operations-lead/SKILL.md	resolve billing anomalies quickly
