agent_id	category	required_mcp	optional_mcp	source
spec_gatherer	spec	-	-	out/renderer/assets/index-3inA-y1N.js:133142-133149
spec_researcher	spec	context7	-	out/renderer/assets/index-3inA-y1N.js:133150-133157
spec_writer	spec	-	-	out/renderer/assets/index-3inA-y1N.js:133158-133165
spec_critic	spec	-	-	out/renderer/assets/index-3inA-y1N.js:133166-133173
spec_discovery	spec	-	-	out/renderer/assets/index-3inA-y1N.js:133174-133181
spec_context	spec	-	-	out/renderer/assets/index-3inA-y1N.js:133182-133189
spec_validation	spec	-	-	out/renderer/assets/index-3inA-y1N.js:133190-133197
planner	build	context7,graphiti-memory,auto-claude	linear	out/renderer/assets/index-3inA-y1N.js:133199-133207
coder	build	context7,graphiti-memory,auto-claude	linear	out/renderer/assets/index-3inA-y1N.js:133208-133216
qa_reviewer	qa	context7,graphiti-memory,auto-claude	linear,electron,puppeteer	out/renderer/assets/index-3inA-y1N.js:133218-133226
qa_fixer	qa	context7,graphiti-memory,auto-claude	linear,electron,puppeteer	out/renderer/assets/index-3inA-y1N.js:133227-133235
pr_reviewer	utility	context7	-	out/renderer/assets/index-3inA-y1N.js:133237-133244
commit_message	utility	-	-	out/renderer/assets/index-3inA-y1N.js:133245-133252
merge_resolver	utility	-	-	out/renderer/assets/index-3inA-y1N.js:133253-133260
insights	utility	-	-	out/renderer/assets/index-3inA-y1N.js:133261-133268
analysis	utility	context7	-	out/renderer/assets/index-3inA-y1N.js:133269-133277
batch_analysis	utility	-	-	out/renderer/assets/index-3inA-y1N.js:133278-133286
ideation	ideation	-	-	out/renderer/assets/index-3inA-y1N.js:133288-133295
roadmap_discovery	ideation	context7	-	out/renderer/assets/index-3inA-y1N.js:133296-133303
pr_template_filler	utility	-	-	out/renderer/assets/index-3inA-y1N.js:133304-133311
